ID,H,e,a,Perigee,i,RAAN,arg_perig,Apogee,period [y],MOID,condition_code,SMASS taxonomy,Spin period,Satellites,PHA,delta_v_tot,period_sin,g_2,familiar,approaches,is_NHATS,is_geometry
(2008 WO2),29.8,.1881839650534357,1.025097242616128,.8321903789352809,2.010370989321986,238.0169947644241,85.89289476034691,1.218004106296974,1.03790068898557,.00252714,6,,,0,N,327.25547977970893,27.384744625110415,0.001031327241415081,(2019 VC37),2.0,True,False
(2011 AM37),29.9,.1473125197931189,1.100433650304288,.9383259964128234,2.629381563759842,291.1905032871033,129.315966516688,1.262541304195753,1.15439382678678,.000950276,6,,,0,N,718.9372551916811,7.476942898636839,0.0012591638130436955,(2023 CZ2),1.0,True,False
(2014 WX202),29.6,.05877615136106507,1.035551244263956,.9746855275889582,.4129109167043972,243.8917216061577,214.1968925951224,1.096416960938954,1.05381795664317,.000848307,2,,,0,N,219.46922415323363,19.581158824559534,0.0005853448045627374,(2008 EA9),2.0,True,False
(2018 TV5),29.5,.5275048757841532,1.465062675704682,.6922349709410845,5.443808920418381,192.6753091900729,263.7972733084746,2.237890380468279,1.7733420353393,.00010294,6,,,0,N,1881.6444138121421,2.293088897671591,0.003913276554739831,(2019 GH3),1.0,False,False
(2019 JY2),29.6,.2724420138896858,1.089030695998201,.792332979992765,.9836689720574074,226.1974193606662,268.3148657585083,1.385728412003637,1.13649723651434,.000582546,5,,,0,N,522.3728283793695,8.326155646344848,0.0008935073359155332,(2022 JF2),2.0,True,False
(2019 VC37),29.68,.1731572269830705,1.050891900173905,.868922372880822,2.56445562540196,220.0302211247082,97.5553111263069,1.232861427466988,1.07732135662131,.00113686,6,,,0,N,319.1394748897053,13.933037438771434,0.001031327241415081,(2008 WO2),1.0,False,False
(2020 BZ13),29.9,.6776219116703267,1.267118713339983,.4084913084932989,18.49743057839884,128.2644825428292,116.6516768656618,2.125746118186666,1.42637644872083,.000383937,7,,,0,N,4785.994148120294,3.3453452999106674,0.013233812181751237,(2017 AN4),1.0,False,False
(2020 DR4),29.75,.2924123325917091,.8154099380639516,.5769740160562103,4.356669420803615,336.4474606069837,32.29820210713754,1.053845860071693,0.736329504099272,.000843497,6,,,0,N,840.2843650401799,2.792612429327324,0.0033006813966591775,(2021 EH2),1.0,True,False
(2020 PX5),29.56,.4957382972474836,1.844281360682898,.930000459292686,2.446540369969793,140.4834749068633,137.16675818228,2.758562262073111,2.50466108312967,.00117923,7,,,0,N,1467.868602636066,1.6646014914667804,0.001421880224392158,(2008 GO20),1.0,False,False
(2020 RD4),29.7,.3388231593054277,1.011472680701812,.668762311475294,2.604195268346739,352.1579173500357,108.8251678078246,1.35418304992833,1.01727749801934,6.37389E-5,6,,,0,N,998.7741707188967,58.87875066636547,0.0023528218665487266,(2021 PQ6),4.0,False,False
(2020 SN3),29.95,.1954832110080689,1.133125382933652,.9116183946030338,5.854849809818609,179.8335875251778,246.4124170497303,1.354632371264269,1.20621619344631,.0041234,7,,,0,N,650.4317362337576,5.849279696651747,0.0016722519989817997,(2024 GX2),1.0,True,False
(2021 KQ2),29.96,.1128314718820365,.9129388838748591,.8099306458689152,3.28294368812897,248.0741736436418,173.773094648464,1.015947121880803,0.872309816194987,.00287065,5,,,0,N,1460.9757967021574,6.831455560648513,0.002903471840880023,(2014 HN2),1.0,True,False
(2021 VH),29.64,.1733544060155315,.9941393433053649,.8218009079499929,.6123082491740077,217.4221635784112,81.50022579003328,1.166477778660737,0.99124062860564,.000128065,4,,,0,N,524.0523777058975,113.16344335437961,0.0013082523094749554,(2020 VA4),9.0,True,False
(2022 BT),29.82,.1831293818182917,1.179639021881322,.9636124570354611,3.931684109903881,303.7199429110545,149.1657416147215,1.395665586727183,1.2812441569144,.00137418,6,,0.0366,0,N,978.3901924885369,4.555629425234111,0.0021300556232501933,(2017 YK14),1.0,True,False
(2022 BN2),29.76,.2746671925283319,1.068672611015944,.7751433052162725,5.911008172394386,308.4570063115164,269.6409676482747,1.362201916815615,1.10477851754075,.000852198,6,,,0,N,913.6256048303187,10.543941100436774,0.003816709897340065,(2006 CK),1.0,False,False
(2022 BM3),29.51,.261527712124756,1.152050490638784,.8507573615698201,4.551394426531782,304.7073042238564,108.7581619547092,1.453343619707747,1.23656079206578,.00232662,7,,,0,N,792.8856114575681,5.22724320149356,0.0008674636097132371,(2019 CZ3),1.0,True,False
(2022 UC14),29.67,.1869643558516845,.9886709804934597,.8038247474762467,3.206278799351026,212.6368418906922,77.39111407510447,1.173517213510673,0.98307325856378,.00019939,5,,,0,N,425.69789746743555,58.07811635027348,0.0007114037039732679,(2002 VX91),3.0,True,False
(2023 BU),29.69,.1103421506341964,1.106564323431292,.9844636361688084,3.731740335855036,125.1129215771135,356.0878703669164,1.228665010693775,1.16405418992894,.0013526,1,,,0,N,1618.8973083442697,7.095546846033919,0.001246409770975454,(2010 AN61),1.0,True,False
(2023 JA3),29.73,.2281225683097129,1.059310178002027,.8176576195595856,8.055412907813439,230.487298396925,268.9035608088672,1.300962736444469,1.09029223697605,.000254667,6,,,0,N,506.3396901292508,12.075149243065605,0.0026876665519828258,(2023 JB6),1.0,True,False
(2023 MB3),30.00,.3180694832754966,.8794317965737048,.5997113794614649,5.916929503858369,268.7423363943618,225.1116767183565,1.159152213685945,0.824729345744321,.00157212,5,,,0,N,1342.9988902022574,4.705461671531351,0.0016220914700533218,(2016 NR),1.0,True,False
(2023 TP16),29.78,.08995950031247049,1.096988278738077,.9983037613341624,1.394362825745869,13.58248518144033,38.95493383122584,1.195672796141991,1.14897659757872,.0119956,6,,,0,N,662.6369002235987,7.712463677199999,0.00012121923469665674,(2021 PR16),1.0,True,False
(2023 TO17),29.67,.4602396850031568,1.18673584415641,.6405529130599087,3.625501062613651,200.6868397256051,82.22512277783079,1.732918775252912,1.29282366211362,2.20306E-5,6,,,0,N,1648.705941322933,4.415024567283722,0.0033594829640337665,(2023 UM3),1.0,False,False
(2023 UY),29.96,.2506535225312075,.9375058966146737,.7025167412344276,.4593301667465175,16.29818254561961,246.0457208830607,1.17249505199492,0.907756179935331,.000641016,4,,,0,N,646.9376872524534,9.840834641268465,0.0007838921306373425,(2023 TX6),1.0,True,False
(2023 XU),29.59,.4144271829685801,1.352365207775623,.7919083043724529,2.683263956717372,72.42833742221227,286.5085234409545,1.912822111178792,1.57271194746212,.00208376,7,,,0,N,1087.3779314425783,2.7460784682969117,0.00477064654037207,(2024 XY15),2.0,True,False
(2024 GX3),29.71,.2967154189455053,1.109153702535676,.7800506970128444,9.255661160569113,200.5046043772817,271.9412354934082,1.438256708058507,1.16814243877906,.000722476,6,,,0,N,832.9164193951692,6.947338502173177,0.0019466031142707507,(2023 UP2),1.0,False,False
(2024 JN16),29.59,.241535404628957,.9338822282469766,.7083166063715511,3.882946004682446,53.66997298504614,302.5680543350612,1.159447850122402,0.902498250235344,.000554303,5,,,0,N,756.0089838590702,9.256226195055387,0.003905482297636098,(2024 KT1),2.0,True,False
(2024 RH7),29.84,.4296649783102241,1.190718066480914,.6791082142728003,11.32525482092731,165.9207991486645,275.1438740115195,1.702327918689028,1.29933643552401,.00110415,7,,,0,N,1866.700096525747,4.340722616174099,0.000883891096578715,(2024 RL8),1.0,False,False
(2024 TD6),29.56,.13973805820421,1.13354602031577,.9751465005517345,.7996760900100379,185.4236075593331,149.4087415107088,1.291945540079806,1.20688791086675,.00156175,6,,,0,N,413.61796454540155,5.833535201793729,0.0012726165939316303,(2016 TM56),1.0,True,False
(2024 UB11),29.97,.4729652840064858,1.335839304643415,.7040336885357159,3.819983351306907,36.76150387984333,275.7059196317622,1.967644920751114,1.5439723861105,.000407262,6,,,0,N,1815.8648094323826,2.838328609196837,0.0019824829525685317,(2023 VO1),1.0,False,False
(2024 VR4),29.73,.06961075351678921,1.034624313232939,.9626033351820038,1.808675810965061,50.28361070550601,305.0756848239013,1.106645291283875,1.05240335072883,.000127958,7,,,0,N,388.35026878687114,20.082749215306304,9.960252888996379e-05,(2014 WA366),1.0,True,False
(2024 YR6),29.725,.2218556358341965,1.060725251595318,.8253973764572504,.0845446167221813,129.802485924125,51.59424585505959,1.296053126733385,1.09247765762155,.000666887,6,,,0,N,380.07163947817236,11.81342267655977,0.0006088149864567072,(2018 YQ2),1.0,True,False
(2025 BD1),29.645,.3021961062540624,1.285419006960255,.8969703881519028,2.668543336876063,118.2535212206386,305.65950113,1.673867625768608,1.45738829878006,.0022175,7,,,0,N,713.1190496746294,3.1863261536580336,0.0024720238253217452,(2020 BL4),1.0,True,False
